,region,variable,nan_ratio,number_neg_vals,mean
DE_CTY_load,DE CTY,load,0.0,0,56130.72170674952
DE_CTY_load_day_ahead,DE CTY,load_day_ahead,0.0013140424599969887,0,54566.23061896081
DE_CTY_scheduled_gen_total,DE CTY,scheduled_gen_total,0.006570212299984943,0,59482.376910867075
DE_CTY_gen_biomass,DE CTY,gen_biomass,0.0,0,4585.933140150841
DE_CTY_gen_lignite,DE CTY,gen_lignite,0.0,0,10255.923644825274
DE_CTY_gen_coal_gas,DE CTY,gen_coal_gas,0.9514899325184445,0,348.4178047404063
DE_CTY_gen_gas,DE CTY,gen_gas,0.0,0,6712.63944509082
DE_CTY_gen_hard_coal,DE CTY,gen_hard_coal,0.0,0,4462.799563354641
DE_CTY_gen_oil,DE CTY,gen_oil,0.0,0,436.86609893644686
DE_CTY_gen_geothermal,DE CTY,gen_geothermal,0.0,0,22.226325608771237
DE_CTY_gen_pumped_hydro,DE CTY,gen_pumped_hydro,0.0,0,1103.0467380264727
DE_CTY_gen_run_off_hydro,DE CTY,gen_run_off_hydro,0.0,0,1631.9942154755877
DE_CTY_gen_reservoir_hydro,DE CTY,gen_reservoir_hydro,0.0,0,142.24676690803074
DE_CTY_gen_nuclear,DE CTY,gen_nuclear,0.0,0,7383.059735001437
DE_CTY_gen_other,DE CTY,gen_other,0.0,0,308.99192192397715
DE_CTY_gen_other_renew,DE CTY,gen_other_renew,0.0,0,156.83865912917312
DE_CTY_gen_solar,DE CTY,gen_solar,0.0,0,5279.416865324336
DE_CTY_gen_waste,DE CTY,gen_waste,0.0,0,486.12234967217375
DE_CTY_gen_wind_off,DE CTY,gen_wind_off,0.0,0,2848.7121036998506
DE_CTY_gen_wind_on,DE CTY,gen_wind_on,0.0,0,10943.54587746554
DE_CTY_pumped_hydro_consumption,DE CTY,pumped_hydro_consumption,0.0,0,1241.8006475765499
DE_CTY_solar_day_ahead,DE CTY,solar_day_ahead,0.0026280849199939774,0,5277.424850065189
DE_CTY_wind_off_day_ahead,DE CTY,wind_off_day_ahead,0.0,0,2883.8334382742237
DE_CTY_wind_on_day_ahead,DE CTY,wind_on_day_ahead,0.0026280849199939774,0,10881.391716873668
DE_LU_BZN_prices_day_ahead,DE-LU BZN,prices_day_ahead,0.0,1908,39.95456041173331
DE_CTY_import_export_day_ahead,DE CTY,import_export_day_ahead,0.0,48689,-2611.039802893631
DE_CTY_import_export_total,DE CTY,import_export_total,0.0,47290,-2170.4739767578735
DE_CTY_cross_border_flow,DE CTY,cross_border_flow,0.0,47400,-2254.6344246273457
