DATE;TIME_FROM;TIME_TO;RZSALDO_AFRR_50HERTZ_POS_OP_[MW];RZSALDO_AFRR_50HERTZ_NEG_OP_[MW];RZSALDO_AFRR_50HERTZ_POS_QA_[MW];RZSALDO_AFRR_50HERTZ_NEG_QA_[MW];RZSALDO_AFRR_TRANSNETBW_POS_OP_[MW];RZSALDO_AFRR_TRANSNETBW_NEG_OP_[MW];RZSALDO_AFRR_TRANSNETBW_POS_QA_[MW];RZSALDO_AFRR_TRANSNETBW_NEG_QA_[MW];RZSALDO_AFRR_TENNET_POS_OP_[MW];RZSALDO_AFRR_TENNET_NEG_OP_[MW];RZSALDO_AFRR_TENNET_POS_QA_[MW];RZSALDO_AFRR_TENNET_NEG_QA_[MW];RZSALDO_AFRR_AMPRION_POS_OP_[MW];RZSALDO_AFRR_AMPRION_NEG_OP_[MW];RZSALDO_AFRR_AMPRION_POS_QA_[MW];RZSALDO_AFRR_AMPRION_NEG_QA_[MW];50HZ_mFRR_ACT_POS_OP_PT15M;50HZ_mFRR_ACT_NEG_OP_PT15M;50HZ_mFRR_ACT_POS_QA_PT15M;50HZ_mFRR_ACT_NEG_QA_PT15M;TRANSNETBW_mFRR_ACT_POS_OP_PT15M;TRANSNETBW_mFRR_ACT_NEG_OP_PT15M;TRANSNETBW_mFRR_ACT_POS_QA_PT15M;TRANSNETBW_mFRR_ACT_NEG_QA_PT15M;TENNET_mFRR_ACT_POS_OP_PT15M;TENNET_mFRR_ACT_NEG_OP_PT15M;TENNET_mFRR_ACT_POS_QA_PT15M;TENNET_mFRR_ACT_NEG_QA_PT15M;AMPRION_mFRR_ACT_POS_OP_PT15M;AMPRION_mFRR_ACT_NEG_OP_PT15M;AMPRION_mFRR_ACT_POS_QA_PT15M;AMPRION_mFRR_ACT_NEG_QA_PT15M
01.07.2019;00:00;00:15;n/a;n/a;29,724;1,308;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;00:15;00:30;n/a;n/a;25,512;1,384;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;00:30;00:45;n/a;n/a;0,000;1,320;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;00:45;01:00;n/a;n/a;0,000;2,156;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;01:00;01:15;n/a;n/a;0,000;1,336;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;01:15;01:30;n/a;n/a;0,000;1,068;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;01:30;01:45;n/a;n/a;0,000;1,072;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;01:45;02:00;n/a;n/a;0,000;1,264;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;02:00;02:15;n/a;n/a;0,020;0,800;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;02:15;02:30;n/a;n/a;0,000;0,588;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;02:30;02:45;n/a;n/a;0,000;0,620;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;02:45;03:00;n/a;n/a;0,000;0,480;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;03:00;03:15;n/a;n/a;0,000;0,552;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;03:15;03:30;n/a;n/a;0,000;0,560;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;03:30;03:45;n/a;n/a;0,000;0,692;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;03:45;04:00;n/a;n/a;0,000;0,568;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;04:00;04:15;n/a;n/a;0,000;1,172;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
01.07.2019;04:15;04:30;n/a;n/a;0,000;0,604;n/a;n/a;n/a;n/a;n/a;n/a;0,000;0,000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
